post_id,date,username,body,num_likes,location,joined,points,mean_word_length
125054397,"Oct 4, 2023",jessee walsh,"I will be on Oahu the 6th-13th, I would like to meet some people and get some climbing in.",0,"Reno, Nv",Dec 2022,Points: 0,3.789473684210526
125034978,"Oct 1, 2023",Arie B,Looking for climbing partners while I'm out here,1,San Diego,Aug 2018,Points: 0,5.125
125034978,"Oct 3, 2023",jessee walsh,"I will be on Oahu the 6th-13th, would love to get some climbing in while I’m there!",0,"Reno, Nv",Dec 2022,Points: 0,3.9411764705882355
125005902,"Sep 25, 2023",Carmen Dosev,Aloha!! I’ll be on island last week of october and first week of November! Would love to meet some cool people while out there! DM me:),0,"Pensacola, FL",Dec 2021,Points: 0,4.230769230769231
123587603,"Dec 23, 2022",Jericho H,Are there any areas that standout as potential 5.14 terrain in the Hawaiian Islands?,0,"Buena Vista, CO",May 2018,Points: 90,5.071428571428571
123587603,"Jun 7, 2023",Kalani Cunha,"pink pillbox supposedly has some good FA's if you're looking for that, other than that I don't think there are any routes that are above 5.13, though I could be wrong.",0,Hawaii,May 2023,Points: 5,4.419354838709677
123587603,"Jul 30, 2023",20 kN,"There is an established 5.13d and a few other harder 5.13s, so it would be possible.",2,Unknown Hometown,Feb 2009,"Points: 1,346",4.3125
124661392,"Jul 27, 2023",Aiden Nova,Looking for any beta on canyoneering routes around the S side. It’d be awesome to get some adventure in Waimea canyon. ,0,Denver,Jun 2017,Points: 0,4.666666666666667
124535525,"Jul 5, 2023",Basalt Rocks,"Hello I will be in Oahu from July 9-19.  Looking for anyone that would be interested in any sport/trad or bouldering.  I’m stoked to climb anywhere on the island, and don’t mind belaying you while you work your project.",0,Unknown Hometown,May 2023,Points: 15,4.589743589743589
124493183,"Jun 28, 2023",Chris Pyle,"Hello! I'll be working in Oahu July 17-21 then staying 22-29 for vacation. My trip plans are pretty open for the 22-29. I'd love to do some sport climbing on Oahu and maybe something more adventurous on Kauai or Big Island. I typically climb sport in the 11's/12's, trad in the 9's/10's but happy to follow on about anything.I'd also be down for some indoor sessions while I'm around.Thanks!Chris",0,"Springfield, VA",May 2019,Points: 0,4.753623188405797
124227808,"May 19, 2023",Sarah Perryman,"Hi! Looking for some partners for sport climbing and trad climbing (if possible) on Oahu. I'm usually projecting 11's for both disciplines (12 if the crag is soft) and can follow 12. I don't mind giving catches for someone who's much better than me! Would love an environment to progress, but also don't mind being the better climber. I climb at HiClimb if you'd like to start indoors.",2,Unknown Hometown,Nov 2019,Points: 0,4.676470588235294
124227808,"May 23, 2023",Kai Dude,"I am not the partner you’re looking for, nor do I live on the island, but I do know someone from Oahu who would be interested in climbing with you. I have climbed with him before when he came to visit my home in New Hampshire and he is a very kind, easygoing dude.  Shoot me a text if you’d like his contact",0,Unknown Hometown,May 2019,Points: 0,3.873015873015873
124227808,"May 24, 2023",MrSalmon III,You living townside? I’m Kailua but would be down to get out. ,0,"Ogden, UT",May 2016,Points: 0,4.166666666666667
